Repository URL,Commit ID
"['https://github.com/apache/kylin', '1f9f44ceb818b46518176e81c6dea5a0d12750c']","['https://github.com/apache/kylin', 'e373c64c96a54a7abfe4bccb82e8feb60db0474']"
"['https://github.com/belaban/JGroups', '38a882331035ffed205d15a5c92b471fd09659c']","['https://github.com/belaban/JGroups', 'fba182c14075789e1d2c976d50d9018c671ad0b']"
"['https://github.com/undertow-io/undertow', '85d4478e598105fe94ac152d3e11e388374e8b8']","['https://github.com/undertow-io/undertow', 'f404cb68448c188f4d51b085b7fe4ac32bde26e']"
"['https://github.com/jenkinsci/ec2-plugin', '550d633e6da563fa5929654248996d60dce03067']","['https://github.com/jenkinsci/ec2-plugin', '78c3c49a227ac8eccb8b1be7193d5605363fe251']"
"['https://github.com/FasterXML/jackson-modules-java8', 'ba27ce5909dfb49bcaf753ad3e04ecb980010b0b']","['https://github.com/FasterXML/jackson-modules-java8', '7de5c8dcd7e2f59f4f5a0c6c9b92cc9e785f9eac']"
"['https://github.com/apache/camel', '4491c080cb6c8659fc05441e49307b7d4349aa56']","['https://github.com/apache/camel', '8386d8f7260143802553bc6dbae2880d6c0bafda']"
"['https://github.com/airsonic/airsonic', '3e07ea52885f88d3fbec444dfd592f27bfb65647']","['https://github.com/airsonic/airsonic', '268dc6e13dd1d84f309db3a4bd7d0d864c4b5bf1']"
"['https://github.com/urllib3/urllib3', '9b76785331243689a9d52cef3db05ef7462cb02d']","['https://github.com/urllib3/urllib3', 'efddd7e7bad26188c3b692d1090cba768afa9162']"
"['https://github.com/spring-projects/spring-framework.git', 'd63cfc8eebc396be009e733a81ebb4c984811f6e']","['https://github.com/spring-projects/spring-framework.git', 'dc5b5ca8ee09c890352f89b2dae58bc0132d6545']"
"['https://github.com/apache/mina', '294b8ce638df6e237e819537b333e02853bb612']","['https://github.com/apache/mina', '73e881ad935e5aa6080b90585ac8dc8ddfc377e']"
"['https://android.googlesource.com/platform//external/conscrypt.git', '4c9f9c2201116acf790fca25af43995d29980ee0']","['https://android.googlesource.com/platform//external/conscrypt.git', 'c4ab1b959280413fb11bf4fd7f6b4c2ba38bd779']"
"['https://github.com/apache/struts', '3cfe34fefedcf0fdcfcb061c0aea34a715b7de6']","['https://github.com/apache/struts', '630e1ba065a8215c4e9ac03bfb09be9d655c2b6e']"
